date,requests,pageViews,uniques
2022-02-15,42,1,17
2022-02-16,200,4,13
2022-02-17,75,1,8
2022-02-18,147,4,8
2022-02-19,100,4,16
2022-02-20,454,6,15
2022-02-21,72,4,15
2022-02-22,219,12,25
2022-02-23,145,2,14
2022-02-24,156,10,13
2022-02-25,172,6,19
2022-02-26,89,4,13
2022-02-27,169,6,14
2022-02-28,386,6,22
2022-03-01,228,12,22
2022-03-02,181,13,25
2022-03-03,194,7,17
2022-03-04,260,7,24
2022-03-05,497,97,46
2022-03-06,388,31,34
2022-03-07,572,117,37
2022-03-08,240,31,31
2022-03-09,174,3,22
2022-03-10,127,7,34
2022-03-11,166,9,22
2022-03-12,489,70,52
2022-03-13,156,12,23
2022-03-14,280,31,29
2022-03-15,107,9,23
2022-03-16,190,5,25
2022-03-17,181,26,28
2022-03-18,101,36,37
2022-03-19,172,47,39
2022-03-20,243,51,39
2022-03-21,188,47,36
2022-03-22,620,113,59
2022-03-23,180,50,42
2022-03-24,200,56,36
2022-03-25,464,50,51
2022-03-26,155,54,31
2022-03-27,300,29,30
2022-03-28,384,45,44
2022-03-29,284,35,38
2022-03-30,423,39,30
2022-03-31,231,41,35
2022-04-01,307,46,34
2022-04-02,249,28,42
2022-04-03,196,26,27
2022-04-04,213,38,26
2022-04-05,532,26,36
2022-04-06,632,47,36
2022-04-07,386,30,37
2022-04-08,513,49,45
2022-04-09,411,27,33
2022-04-10,292,42,30
2022-04-11,127,19,38
2022-04-12,303,49,43
2022-04-13,328,121,63
2022-04-14,645,35,32
2022-04-15,415,16,39
2022-04-16,161,22,38
2022-04-17,189,16,31
2022-04-18,158,24,35
2022-04-19,178,15,24
2022-04-20,335,34,29
2022-04-21,153,23,34
2022-04-22,292,35,37
2022-04-23,163,17,31
2022-04-24,539,47,38
2022-04-25,224,28,30
2022-04-26,112,22,32
2022-04-27,138,26,17
2022-04-28,293,21,30
2022-04-29,250,39,41
2022-04-30,205,34,29
2022-05-01,239,26,25
2022-05-02,424,28,31
2022-05-03,121,28,32
2022-05-04,312,37,41
2022-05-05,154,29,32
2022-05-06,97,27,30
2022-05-07,409,52,36
2022-05-08,252,141,46
2022-05-09,116,48,23
2022-05-10,261,105,52
2022-05-11,464,224,50
2022-05-12,408,215,43
2022-05-13,251,108,38
2022-05-14,248,89,24
2022-05-15,924,294,37
2022-05-16,561,282,33
2022-05-17,967,267,55
2022-05-18,271,116,36
2022-05-19,289,101,28
2022-05-20,499,228,83
2022-05-21,465,113,39
2022-05-22,377,130,68
2022-05-23,500,240,83
2022-05-24,315,143,43
2022-05-25,291,25,39
2022-05-26,218,31,51
2022-05-27,152,20,42
2022-05-28,180,27,43
2022-05-29,307,72,66
2022-05-30,277,68,51
2022-05-31,236,58,52
2022-06-01,200,80,50
2022-06-02,272,77,41
2022-06-03,201,83,34
2022-06-04,301,118,49
2022-06-05,351,121,67
2022-06-06,691,153,52
2022-06-07,344,105,50
2022-06-08,368,112,46
2022-06-09,266,83,46
2022-06-10,281,102,46
2022-06-11,268,92,39
2022-06-12,250,79,33
2022-06-13,351,119,47
2022-06-14,279,111,37
2022-06-15,325,102,36
2022-06-16,268,92,33
2022-06-17,408,101,46
2022-06-18,348,111,48
2022-06-19,492,111,33
2022-06-20,397,145,49
2022-06-21,403,106,41
2022-06-22,383,108,41
2022-06-23,272,88,28
2022-06-24,321,102,33
2022-06-25,263,94,27
2022-06-26,401,106,32
2022-06-27,440,101,39
2022-06-28,559,81,45
2022-06-29,355,92,41
2022-06-30,611,100,48
2022-07-01,318,101,42
2022-07-02,559,116,43
2022-07-03,396,95,36
2022-07-04,499,128,43
2022-07-05,433,117,51
2022-07-06,590,138,43
2022-07-07,528,212,44
2022-07-08,448,236,70
2022-07-09,817,175,42
2022-07-10,754,205,77
2022-07-11,504,109,42
2022-07-12,390,113,34
2022-07-13,352,85,24
2022-07-14,301,90,21
2022-07-15,406,93,43
2022-07-16,806,108,45
2022-07-17,450,96,33
2022-07-18,505,95,31
2022-07-19,402,93,45
2022-07-20,793,102,25
2022-07-21,403,91,31
2022-07-22,448,102,65
2022-07-23,329,102,28
2022-07-24,358,118,33
2022-07-25,490,111,55
2022-07-26,384,106,43
2022-07-27,458,121,42
2022-07-28,328,91,34
2022-07-29,492,83,24
2022-07-30,625,105,45
2022-07-31,553,129,51
2022-08-01,368,93,36
2022-08-02,530,122,33
2022-08-03,513,124,45
2022-08-04,387,116,39
2022-08-05,420,98,37
2022-08-06,702,113,48
2022-08-07,486,112,33
2022-08-08,788,256,30
2022-08-09,566,121,41
2022-08-10,487,111,43
2022-08-11,565,142,34
2022-08-12,831,177,40
2022-08-13,667,95,38
2022-08-14,522,183,53
2022-08-15,800,204,50
2022-08-16,908,403,60
2022-08-17,514,144,47
2022-08-18,368,126,50
2022-08-19,539,219,33
2022-08-20,486,141,48
2022-08-21,478,142,47
2022-08-22,399,116,31
2022-08-23,536,169,30
2022-08-24,1093,659,29
2022-08-25,302,84,39
2022-08-26,424,199,50
2022-08-27,1202,199,48
2022-08-28,381,136,62
2022-08-29,479,205,53
2022-08-30,660,319,69
2022-08-31,328,86,50
2022-09-01,393,100,41
2022-09-02,377,113,43
2022-09-03,379,100,41
2022-09-04,559,121,37
2022-09-05,483,98,31
2022-09-06,491,119,42
2022-09-07,322,84,43
2022-09-08,551,128,67
2022-09-09,607,208,94
2022-09-10,1581,764,83
2022-09-11,749,191,69
2022-09-12,674,199,38
2022-09-13,562,155,50
2022-09-14,526,162,62
2022-09-15,2952,2124,50
2022-09-16,10530,8429,74
2022-09-17,28022,23774,108
2022-09-18,46410,44658,95
2022-09-19,55298,53574,101
2022-09-20,69611,52794,158
2022-09-21,116202,87732,182
2022-09-22,164461,135269,187
2022-09-23,38903,19162,127
2022-09-24,11030,8774,97
2022-09-25,2393,1069,79
2022-09-26,445,147,69
2022-09-27,550,130,58
2022-09-28,886,312,239
2022-09-29,369,110,46
2022-09-30,806,275,78
2022-10-01,1267,708,79
2022-10-02,449,142,65
2022-10-03,513,143,76
2022-10-04,1326,675,79
2022-10-05,718,376,73
2022-10-06,916,430,55
2022-10-07,396,164,48
2022-10-08,1487,794,65
2022-10-09,538,195,46
2022-10-10,825,376,40
2022-10-11,767,256,61
2022-10-12,474,161,40
2022-10-13,502,162,49
2022-10-14,2122,864,70
2022-10-15,2233,788,53
2022-10-16,1503,520,50
2022-10-17,505,237,48
2022-10-18,696,225,73
2022-10-19,389,107,53
2022-10-20,412,123,46
2022-10-21,468,118,46
2022-10-22,630,118,51
2022-10-23,361,101,39
2022-10-24,377,117,31
2022-10-25,403,108,46
2022-10-26,385,100,40
2022-10-27,435,117,41
2022-10-28,660,111,55
2022-10-29,514,104,47
2022-10-30,414,114,39
2022-10-31,420,107,47
2022-11-01,363,112,42
2022-11-02,447,114,30
2022-11-03,481,119,38
2022-11-04,713,306,91
2022-11-05,397,126,23
2022-11-06,371,123,19
2022-11-07,398,121,35
2022-11-08,585,103,63
2022-11-09,383,108,40
2022-11-10,381,130,29
2022-11-11,643,133,44
2022-11-12,357,108,49
2022-11-13,468,117,29
2022-11-14,495,122,44
2022-11-15,463,90,48
2022-11-16,452,87,45
2022-11-17,556,182,55
2022-11-18,561,170,42
2022-11-19,411,102,21
2022-11-20,431,104,25
2022-11-21,475,97,36
2022-11-22,415,69,52
2022-11-23,487,82,34
2022-11-24,384,98,54
2022-11-25,489,101,47
2022-11-26,439,159,54
2022-11-27,316,124,57
2022-11-28,332,74,43
2022-11-29,439,154,68
2022-11-30,484,157,202
2022-12-01,818,196,558
2022-12-02,619,156,481
2022-12-03,487,114,381
2022-12-04,571,131,359
2022-12-05,811,273,602
2022-12-06,979,204,711
2022-12-07,817,262,592
2022-12-08,925,207,508
2022-12-09,814,260,586
2022-12-10,677,196,478
2022-12-11,687,175,494
2022-12-12,587,173,394
2022-12-13,475,102,344
2022-12-14,471,47,322
2022-12-15,467,61,364
2022-12-16,332,102,252
2022-12-17,420,93,351
2022-12-18,507,91,374
2022-12-19,950,246,537
2022-12-20,905,300,507
2022-12-21,981,384,533
2022-12-22,1304,335,578
2022-12-23,985,332,525
2022-12-24,2717,307,524
2022-12-25,1298,301,577
2022-12-26,1054,394,562
2022-12-27,1183,337,589
2022-12-28,1335,592,608
2022-12-29,1448,485,632
2022-12-30,1123,307,558
2022-12-31,1977,518,592
2023-01-01,1696,520,591
2023-01-02,1079,307,550
2023-01-03,2658,1115,576
2023-01-04,3258,1389,568
2023-01-05,921,183,496
2023-01-06,5811,2685,564
2023-01-07,11259,5430,629
2023-01-08,2116,775,526
2023-01-09,5834,2938,564
2023-01-10,12434,6845,525
2023-01-11,12559,8134,545
2023-01-12,12407,8444,504
2023-01-13,12112,8345,481
2023-01-14,12285,8034,542
2023-01-15,12197,7036,511
2023-01-16,12291,7617,530
2023-01-17,12180,7580,533
2023-01-18,11992,5584,504
2023-01-19,12241,6683,530
2023-01-20,12254,7783,548
2023-01-21,12564,6016,591
2023-01-22,12745,6260,607
2023-01-23,12572,7661,636
2023-01-24,11459,5928,529
2023-01-25,11028,4128,316
2023-01-26,10784,5853,175
2023-01-27,10962,6440,258
2023-01-28,11671,3841,269
2023-01-29,11511,4767,237
2023-01-30,11593,6802,193
2023-01-31,11682,5228,246
2023-02-01,11978,5168,380
2023-02-02,11782,6960,431
2023-02-03,11621,5758,339
2023-02-04,11576,3946,247
2023-02-05,11877,5305,278
2023-02-06,11449,7277,234
2023-02-07,11682,5493,262
2023-02-08,11649,3862,288
2023-02-09,11402,5545,380
2023-02-10,11202,6822,271
2023-02-11,11574,4255,232
2023-02-12,11619,3294,198
2023-02-13,11572,5574,271
2023-02-14,11509,6541,403
2023-02-15,11567,2975,400
2023-02-16,12923,2609,288
2023-02-17,11356,5724,281
2023-02-18,11623,6153,318
2023-02-19,11762,2803,339
2023-02-20,11491,2777,301
2023-02-21,11003,6183,380
2023-02-22,11152,6025,361
2023-02-23,11327,2893,288
2023-02-24,11210,3180,300
2023-02-25,11172,6644,296
2023-02-26,11591,6111,354
2023-02-27,11972,3483,441
2023-02-28,11617,4129,386
2023-03-01,10751,6602,292
2023-03-02,10673,5593,328
2023-03-03,12976,4705,408
2023-03-04,11181,4728,271
2023-03-05,10583,6702,205
2023-03-06,11033,5888,372
2023-03-07,10894,3816,280
2023-03-08,10983,4048,355
2023-03-09,10520,6890,372
2023-03-10,10456,6886,374
2023-03-11,10782,4289,382
2023-03-12,11054,4412,318
2023-03-13,10238,6480,299
2023-03-14,11660,7128,378
2023-03-15,10912,4927,369
2023-03-16,11095,4289,260
2023-03-17,10872,6296,380
2023-03-18,10960,6716,367
2023-03-19,10806,5257,281
2023-03-20,10979,4192,361
2023-03-21,10616,6075,358
2023-03-22,10777,6659,352
2023-03-23,11184,5409,328
2023-03-24,11311,4325,342
2023-03-25,11049,5784,412
2023-03-26,10667,6856,321
2023-03-27,11032,6246,382
2023-03-28,10974,4476,305
2023-03-29,10247,5289,422
2023-03-30,9511,6062,381
2023-03-31,10177,6424,294
2023-04-01,10057,4560,314
2023-04-02,10165,4719,323
2023-04-03,9619,6236,310
2023-04-04,10133,6504,318
2023-04-05,10596,5140,331
2023-04-06,10663,4145,397
2023-04-07,9925,6297,416
2023-04-08,9988,6632,375
2023-04-09,9871,5407,292
2023-04-10,10546,4546,329
2023-04-11,9594,5169,312
2023-04-12,9379,6243,200
2023-04-13,9674,5918,237
2023-04-14,10406,4759,314
2023-04-15,10209,5226,449
2023-04-16,9829,6551,511
2023-04-17,10069,6353,419
2023-04-18,9458,4179,458
2023-04-19,10059,3827,499
2023-04-20,9519,5275,459
2023-04-21,9497,5261,549
2023-04-22,9833,4875,555
2023-04-23,9662,3886,533
2023-04-24,9452,4472,253
2023-04-25,8995,6156,251
2023-04-26,9579,5824,508
2023-04-27,9993,4281,557
2023-04-28,10307,3990,770
2023-04-29,9873,4645,709
2023-04-30,10124,4575,870
2023-05-01,9349,3369,766
2023-05-02,8882,2976,805
2023-05-03,9622,4879,678
2023-05-04,9559,6130,666
2023-05-05,9612,5311,651
2023-05-06,12926,5184,665
2023-05-07,9816,4185,793
2023-05-08,9499,4232,847
2023-05-09,9206,4079,653
2023-05-10,8440,2897,732
2023-05-11,7676,2707,631
2023-05-12,10507,3579,718
2023-05-13,7438,4189,623
2023-05-14,7255,3805,724
2023-05-15,15736,6494,713
2023-05-16,11068,4260,595
2023-05-17,9131,4437,752
2023-05-18,8310,4053,646
2023-05-19,7582,3032,684
2023-05-20,7976,2841,678
2023-05-21,7681,2637,545
2023-05-22,7493,3492,564
2023-05-23,7691,4768,606
2023-05-24,9283,5345,423
2023-05-25,6999,3721,221
2023-05-26,7756,3401,312
2023-05-27,7558,3363,530
2023-05-28,7300,3160,381
2023-05-29,7309,3076,364
2023-05-30,7336,2766,338
2023-05-31,6826,3562,374
2023-06-01,11339,5436,319
2023-06-02,7128,5171,321
2023-06-03,7165,3447,330
2023-06-04,7589,3485,604
2023-06-05,13382,5762,379
2023-06-06,7267,3722,381
2023-06-07,7373,4526,371
2023-06-08,7533,4230,472
2023-06-09,6893,5599,460
2023-06-10,9790,5277,451
2023-06-11,6668,3555,340
2023-06-12,7576,3923,482
2023-06-13,7737,5074,439
2023-06-14,7900,4240,426
2023-06-15,8103,5257,471
2023-06-16,7811,5906,556
2023-06-17,7894,5987,457
2023-06-18,8211,4739,441
2023-06-19,7537,3996,445
2023-06-20,7291,5078,495
2023-06-21,7610,4847,400
2023-06-22,7552,4841,435
2023-06-23,7980,5450,526
2023-06-24,7567,6432,591
2023-06-25,7614,5349,564
2023-06-26,7467,4212,430
2023-06-27,7289,4729,432
2023-06-28,7046,5171,440
2023-06-29,7393,4555,492
2023-06-30,7437,5077,469
2023-07-01,7641,5789,494
2023-07-02,7366,6371,428
2023-07-03,7648,4117,630
2023-07-04,7649,4212,489
2023-07-05,7335,5060,478
2023-07-06,9908,6054,524
2023-07-07,7575,4581,452
2023-07-08,7568,5028,540
2023-07-09,7469,6059,452
2023-07-10,7324,6428,423
2023-07-11,7445,4414,431
2023-07-12,8068,4076,512
2023-07-13,8021,4887,595
2023-07-14,7974,5924,413
2023-07-15,7725,5100,544
2023-07-16,7739,4574,467
2023-07-17,7415,4973,393
2023-07-18,7939,6369,541
2023-07-19,7530,5978,539
2023-07-20,7525,3832,327
2023-07-21,7943,3931,474
2023-07-22,7445,5432,472
2023-07-23,7351,5926,449
2023-07-24,7976,5283,480
2023-07-25,7457,4062,397
2023-07-26,7892,4500,397
2023-07-27,7625,6297,459
2023-07-28,7388,6384,391
2023-07-29,8031,3828,486
2023-07-30,14049,5539,345
2023-07-31,12103,7231,610
2023-08-01,7282,6271,400
2023-08-02,8147,6096,533
2023-08-03,7776,4193,436
2023-08-04,7624,4128,490
2023-08-05,7135,6271,460
2023-08-06,6967,6320,383
2023-08-07,7087,5479,348
2023-08-08,7512,4342,426
2023-08-09,7738,4933,549
2023-08-10,7541,6608,449
2023-08-11,7955,6675,548
2023-08-12,7913,5720,395
2023-08-13,7673,4387,452
2023-08-14,7978,5035,446
2023-08-15,7812,6907,526
2023-08-16,12539,8193,436
2023-08-17,18471,8019,391
2023-08-18,28833,10706,474
2023-08-19,9010,6194,372
2023-08-20,7574,6642,481
2023-08-21,8166,5749,442
2023-08-22,8024,4554,428
2023-08-23,8132,6394,428
2023-08-24,7573,6940,347
2023-08-25,7890,6020,387
2023-08-26,8133,4159,517
2023-08-27,7857,4429,477
2023-08-28,8691,6834,610
2023-08-29,7506,6796,351
2023-08-30,8516,5263,425
2023-08-31,7863,3451,398
2023-09-01,7940,6532,525
2023-09-02,7749,6921,432
2023-09-03,22665,9459,490
2023-09-04,8093,5310,501
2023-09-05,7692,6897,453
2023-09-06,7803,7037,383
2023-09-07,8391,5226,540
2023-09-08,8539,5073,1085
2023-09-09,10182,7044,1930
2023-09-10,11132,9304,2791
2023-09-11,11738,8259,2766
2023-09-12,11950,2885,2750
2023-09-13,11324,4035,3179
2023-09-14,12104,4372,3350
2023-09-15,11220,4276,3352
2023-09-16,11209,6616,3177
2023-09-17,19708,11373,3140
2023-09-18,14217,9901,3600
2023-09-19,12842,9813,3889
2023-09-20,11535,5741,3578
2023-09-21,11640,4116,3535
2023-09-22,12717,4824,3609
2023-09-23,11895,3989,3784
2023-09-24,11844,4875,3794
2023-09-25,12633,6181,3724
2023-09-26,11722,6836,3799
2023-09-27,11962,9309,3915
2023-09-28,12065,9261,3767
2023-09-29,12233,7092,3804
2023-09-30,11791,3243,3933
2023-10-01,10989,3715,3116
2023-10-02,10840,3386,3174
2023-10-03,11249,2846,3325
2023-10-04,22151,8340,3382
2023-10-05,11759,5868,3411
2023-10-06,21891,12405,3356
2023-10-07,21788,12504,3395
2023-10-08,17898,9578,3580
2023-10-09,13959,3919,3699
2023-10-10,14330,4261,3481
2023-10-11,12315,3974,3797
2023-10-12,22980,7833,3802
2023-10-13,11774,6247,3585
2023-10-14,11753,8908,3759
2023-10-15,11541,9232,3638
2023-10-16,11587,7616,3699
2023-10-17,13166,3651,3702
2023-10-18,11698,5075,3737
2023-10-19,11569,5783,3641
2023-10-20,11687,5643,3663
2023-10-21,11587,6990,3734
2023-10-22,12212,9329,3697
2023-10-23,11780,8427,3660
2023-10-24,11991,9342,3848
2023-10-25,11852,4089,3739
2023-10-26,14873,7155,5568
2023-10-27,12439,5937,4305
2023-10-28,12535,4876,4217
2023-10-29,12340,4265,4131
2023-10-30,12446,5583,4079
2023-10-31,12274,7580,4200
2023-11-01,12552,8871,4339
2023-11-02,6012,4382,2316
2023-11-04,10436,3222,3368
2023-11-05,12462,5137,4345
2023-11-06,13062,6717,4339
2023-11-07,12482,4803,4421
2023-11-08,14020,6330,4822
2023-11-09,12596,4613,4245
2023-11-10,12701,7970,4313
2023-11-11,12928,8664,4206
2023-11-12,12626,8549,4253
2023-11-13,14292,4703,4904
2023-11-14,12967,2944,4270
2023-11-15,12352,3964,4167
2023-11-16,13130,5006,4682
2023-11-17,12555,4457,4170
2023-11-18,12748,4814,4159
2023-11-19,13170,6010,4268
2023-11-20,13412,8658,4192
2023-11-21,12997,8742,4270
2023-11-22,12307,7954,4090
2023-11-23,12302,3233,4164
2023-11-24,13716,3932,5199
2023-11-25,12884,4980,4159
2023-11-26,12975,5231,4200
2023-11-27,12637,5263,4270
2023-11-28,12350,5412,4265
2023-11-29,12352,6926,4145
2023-11-30,13157,8169,4159
2023-12-01,12134,7865,4090
2023-12-02,12596,7778,4242
2023-12-03,12463,2375,4175
2023-12-04,12546,2619,4217
2023-12-05,12683,3058,4288
2023-12-06,13292,3883,5029
2023-12-07,13351,4109,4978
2023-12-08,13130,4659,5483
2023-12-09,14800,8356,5775
2023-12-10,15077,9660,5960
2023-12-11,15797,8867,6494
2023-12-12,19604,10358,6393
2023-12-13,15897,4252,6244
2023-12-14,15782,4767,6412
2023-12-15,15810,6123,6346
2023-12-16,16417,6699,6783
2023-12-17,17479,7164,6851
2023-12-18,16887,6292,6992
2023-12-19,17322,7561,6987
2023-12-20,23853,18730,7172
2023-12-21,96762,56691,4884
2023-12-22,18905,10857,4047
2023-12-23,8507,2464,1006
2023-12-24,8574,3010,789
2023-12-25,7843,2819,450
2023-12-26,7707,3526,503
2023-12-27,8295,4280,574
2023-12-28,8319,4315,903
2023-12-29,8582,7955,1216
2023-12-30,8940,8055,1322
2023-12-31,9715,7805,1671
2024-01-01,9234,3723,1434
2024-01-02,9594,3117,1699
2024-01-03,8226,2808,792
2024-01-04,10001,4368,2489
2024-01-05,10659,4153,3151
2024-01-06,10303,4805,2559
2024-01-07,11572,4959,3205
2024-01-08,13183,9293,3533
2024-01-09,10517,6859,3858
2024-01-10,10873,7921,3722
2024-01-11,10705,4415,3719
2024-01-12,10286,3282,3810
2024-01-13,9463,4062,2149
2024-01-14,10984,5360,2696
2024-01-15,11302,5429,2236
2024-01-16,9930,4404,1943
2024-01-17,7648,4123,815
2024-01-18,9625,8620,2012
2024-01-19,9468,8806,1965
2024-01-20,9332,8670,1796
2024-01-21,7650,4175,1584
2024-01-22,7047,2896,1903
2024-01-23,8761,3572,1916
2024-01-24,8455,4137,1657
2024-01-25,7895,4521,1751
2024-01-26,7934,4502,1623
2024-01-27,8046,4325,1925
2024-01-28,7910,6091,2017
2024-01-29,10298,8740,1677
2024-01-30,22752,12582,1798
2024-01-31,29374,9389,1568
2024-02-01,25325,5155,923
2024-02-02,8207,2143,1941
2024-02-03,12946,5451,3065
2024-02-04,9482,4609,2889
2024-02-05,10404,6006,2748
2024-02-06,6846,3816,933
2024-02-07,12662,6989,1748
2024-02-08,8051,6137,1440
2024-02-09,8511,7624,1917
2024-02-10,9312,2569,1686
2024-02-11,8715,2726,1716
2024-02-12,10582,3591,2378
2024-02-13,8712,4207,2474
2024-02-14,9778,6988,1446
2024-02-15,20662,5911,2955
2024-02-16,29540,6690,1182
2024-02-17,27673,10184,772
2024-02-18,30805,12428,2418
2024-02-19,30672,13605,2676
2024-02-20,28976,14698,779
2024-02-21,32418,8869,139
2024-02-22,14817,4294,727
2024-02-23,8054,3948,1949
2024-02-24,8845,5267,2591
2024-02-25,8594,5366,2463
2024-02-26,7683,2352,487
2024-02-27,6993,1299,546
2024-02-28,6856,2203,574
2024-02-29,12806,5235,2196
2024-03-01,23185,9035,2928
2024-03-02,7888,5189,1983
2024-03-03,9796,2916,2073
2024-03-04,8849,2474,1297
2024-03-05,7523,3191,648
2024-03-06,8173,7151,1533
2024-03-07,9176,6635,1695
2024-03-08,16813,6863,606
2024-03-09,7756,1523,225
2024-03-10,5519,2334,331
2024-03-11,8678,6489,1286
2024-03-12,9266,8079,1884
2024-03-13,15183,8482,384
2024-03-14,23275,17020,313
2024-03-15,15172,9552,200
2024-03-16,11837,8529,678
2024-03-17,8381,6661,1102
2024-03-18,7818,3164,736
2024-03-19,7450,2553,1813
2024-03-20,21221,15246,1436
2024-03-21,21736,18411,621
2024-03-22,23164,22387,203
2024-03-23,12721,8551,232
2024-03-24,7083,1518,287
2024-03-25,28167,21029,365
2024-03-26,18242,15741,154
2024-03-27,24573,23902,193
2024-03-28,10648,9500,238
2024-03-29,10530,4066,150
2024-03-30,6139,1258,149
2024-03-31,6235,2220,210
2024-04-01,6923,5457,366
2024-04-02,8035,5601,166
2024-04-03,10101,1960,223
2024-04-04,18751,9859,1293
2024-04-05,31427,24738,2276
2024-04-06,7511,5127,195
2024-04-07,7094,6237,122
2024-04-08,8650,4007,860
2024-04-09,11295,4763,1641
2024-04-10,18801,5388,394
2024-04-11,28761,7785,175
2024-04-12,29277,6110,153
2024-04-13,47158,5161,167
2024-04-14,15199,1797,203
2024-04-15,6655,1801,155
2024-04-16,7288,3019,247
2024-04-17,32067,12359,331
2024-04-18,32662,8743,239
2024-04-19,26586,5164,230
2024-04-20,28452,5734,173
2024-04-21,25682,6685,151
2024-04-22,6807,4347,107
2024-04-23,6153,5410,133
2024-04-24,6346,3747,118
2024-04-25,6858,1804,116
2024-04-26,37412,3062,205
2024-04-27,43759,4666,192
2024-04-28,46426,6352,152
2024-04-29,34366,8154,146
2024-04-30,31184,5039,177
2024-05-01,28467,6382,182
2024-05-02,28999,8597,1042
2024-05-03,30098,12577,1916
2024-05-04,34128,7716,251
2024-05-05,31984,5797,318
2024-05-06,36265,4761,202
2024-05-07,33635,5836,157
2024-05-08,6822,6141,150
2024-05-09,6858,6531,139
2024-05-10,6225,1648,142
2024-05-11,5964,1546,159
2024-05-12,6472,1960,127
2024-05-13,8637,4509,188
2024-05-14,6417,5960,175
2024-05-15,7208,2839,159
2024-05-16,9749,3993,249
2024-05-17,12219,5676,263
2024-05-18,21935,7062,270
2024-05-19,23433,9406,189
2024-05-20,30637,8020,253
2024-05-21,27632,6426,177
2024-05-22,16295,3430,252
2024-05-23,12686,3703,248
2024-05-24,7312,5817,237
2024-05-25,5859,4305,295
2024-05-26,10122,2565,355
2024-05-27,9562,2622,195
2024-05-28,12960,4569,203
2024-05-29,18667,8094,176
2024-05-30,20653,9189,179
2024-05-31,27157,7504,178
2024-06-01,28947,7389,228
2024-06-02,28432,6759,272
2024-06-03,27570,6131,257
2024-06-04,28954,6919,293
2024-06-05,27975,10074,259
2024-06-06,28666,10424,209
2024-06-07,25240,5413,187
2024-06-08,22470,5567,177
2024-06-09,27963,6250,178
2024-06-10,23497,7423,175
2024-06-11,26908,10621,206
2024-06-12,27603,7317,178
2024-06-13,29432,7553,143
2024-06-14,29799,7482,161
2024-06-15,28164,8478,136
2024-06-16,28372,10557,142
